Name,Time,Latitude,Longitude,Symbol,Category,Pressure,MeanWind,WindGust
TC MA-ON,2022-08-22T06:00:00Z,16.2,123.7,6.0,1.0,996.0,40.0,60.0
TC MA-ON,2022-08-22T12:00:00Z,16.2,123.3,6.0,1.0,992.0,45.0,65.0
TC MA-ON,2022-08-23T00:00:00Z,16.9,123.0,6.0,2.0,985.0,55.0,80.0
TC MA-ON,2022-08-23T12:00:00Z,18.9,121.1,6.0,2.0,985.0,55.0,80.0
TC MA-ON,2022-08-24T00:00:00Z,19.5,118.6,6.0,2.0,985.0,55.0,80.0
TC MA-ON,2022-08-25T00:00:00Z,21.9,113.6,6.0,2.0,980.0,60.0,85.0
TC MA-ON,2022-08-26T00:00:00Z,23.4,107.0,6.0,1.0,998.0,35.0,50.0
